Académie Lib L;Diplôme regroupé Lib L;Département Lib L;Série du baccalauréat Lib L;Nombre total d'admis;Nombre de présents;Série du baccalauréat Lib C;Sexe;Session;Situation déclarée candidat;Secteur d'enseignement;Contrat de l'établissement;TAUX DE REUSSITE (col E / col F * 100)
NANTES;BAC GENERAL;LOIRE-ATLANTIQUE;BAC SCIENTIFIQUE;665;810;BAC S;1;1997;1;2;2;82,09876543
NANTES;BAC GENERAL;LOIRE-ATLANTIQUE;BAC SCIENTIFIQUE;500;589;BAC S;2;1997;1;2;2;84,88964346
LYON;BAC GENERAL;LOIRE;BAC LITTERAIRE;148;182;BAC L;2;1997;1;2;2;81,31868132
CLERMONT-FERRAND;BAC GENERAL;HAUTE-LOIRE;BAC LITTERAIRE;150;177;BAC L;2;1997;1;1;X;84,74576271
NANTES;BAC GENERAL;LOIRE-ATLANTIQUE;BAC SCIENTIFIQUE;16;21;BAC S;1;1997;1;2;0;76,19047619
NANTES;BAC GENERAL;LOIRE-ATLANTIQUE;BAC ECONOMIQUE ET SOCIAL;6;7;BAC ES;1;1997;1;2;0;85,71428571
BESANCON;BAC GENERAL;JURA;BAC SCIENTIFIQUE;274;344;BAC S;1;1997;1;1;X;79,65116279
CLERMONT-FERRAND;BAC GENERAL;HAUTE-LOIRE;BAC SCIENTIFIQUE;136;195;BAC S;1;1997;1;1;X;69,74358974
CLERMONT-FERRAND;BAC GENERAL;HAUTE-LOIRE;BAC SCIENTIFIQUE;116;149;BAC S;2;1997;1;1;X;77,85234899
NANTES;BAC GENERAL;LOIRE-ATLANTIQUE;BAC LITTERAIRE;3;11;BAC L;1;1997;2;-;-;27,27272727
BESANCON;BAC GENERAL;JURA;BAC SCIENTIFIQUE;43;55;BAC S;1;1997;1;2;2;78,18181818
BORDEAUX;BAC GENERAL;LANDES;BAC SCIENTIFIQUE;1;1;BAC S;1;1997;1;2;0;100
BORDEAUX;BAC GENERAL;LANDES;BAC LITTERAIRE;2;3;BAC L;2;1997;1;2;0;66,66666667
BORDEAUX;BAC GENERAL;LANDES;BAC ECONOMIQUE ET SOCIAL;9;14;BAC ES;1;1997;1;2;2;64,28571429
GRENOBLE;BAC GENERAL;ISERE;BAC SCIENTIFIQUE;3;19;BAC S;1;1997;5;1;X;15,78947368
LYON;BAC GENERAL;LOIRE;BAC SCIENTIFIQUE;4;8;BAC S;1;1997;1;2;0;50
BESANCON;BAC GENERAL;JURA;BAC SCIENTIFIQUE;0;5;BAC S;1;1997;2;-;-;0
BESANCON;BAC GENERAL;JURA;BAC LITTERAIRE;0;0;BAC L;1;1997;5;1;X;#DIV/0!
CLERMONT-FERRAND;BAC GENERAL;HAUTE-LOIRE;BAC SCIENTIFIQUE;2;2;BAC S;2;1997;5;1;X;100
CLERMONT-FERRAND;BAC GENERAL;HAUTE-LOIRE;BAC LITTERAIRE;0;4;BAC L;2;1997;5;1;X;0
NANTES;BAC GENERAL;LOIRE-ATLANTIQUE;BAC ECONOMIQUE ET SOCIAL;2;6;BAC ES;2;1997;5;1;X;33,33333333
NANTES;BAC GENERAL;LOIRE-ATLANTIQUE;BAC ECONOMIQUE ET SOCIAL;7;17;BAC ES;2;1997;2;-;-;41,17647059
NANTES;BAC GENERAL;LOIRE-ATLANTIQUE;BAC ECONOMIQUE ET SOCIAL;1;4;BAC ES;1;1997;5;1;X;25
BORDEAUX;BAC GENERAL;LANDES;BAC LITTERAIRE;8;10;BAC L;1;1997;1;2;2;80
NANTES;BAC GENERAL;MAINE-ET-LOIRE;BAC SCIENTIFIQUE;455;570;BAC S;1;1997;1;2;2;79,8245614
NANTES;BAC GENERAL;MAINE-ET-LOIRE;BAC SCIENTIFIQUE;381;471;BAC S;2;1997;1;2;2;80,89171975
CAEN;BAC GENERAL;MANCHE;BAC SCIENTIFIQUE;311;396;BAC S;2;1997;1;1;X;78,53535354
CAEN;BAC GENERAL;MANCHE;BAC LITTERAIRE;86;113;BAC L;1;1997;1;1;X;76,10619469
REIMS;BAC GENERAL;MARNE;BAC ECONOMIQUE ET SOCIAL;4;6;BAC ES;1;1997;1;2;0;66,66666667
REIMS;BAC GENERAL;HAUTE-MARNE;BAC SCIENTIFIQUE;182;277;BAC S;1;1997;1;1;X;65,70397112
NANCY-METZ;BAC GENERAL;MEUSE;BAC ECONOMIQUE ET SOCIAL;55;69;BAC ES;1;1997;1;1;X;79,71014493
REIMS;BAC GENERAL;HAUTE-MARNE;BAC ECONOMIQUE ET SOCIAL;54;73;BAC ES;1;1997;1;1;X;73,97260274
NANTES;BAC GENERAL;MAYENNE;BAC LITTERAIRE;161;196;BAC L;2;1997;1;1;X;82,14285714
NANCY-METZ;BAC GENERAL;MEURTHE-ET-MOSELLE;BAC SCIENTIFIQUE;595;763;BAC S;2;1997;1;1;X;77,98165138
TOULOUSE;BAC GENERAL;LOT;BAC SCIENTIFIQUE;91;107;BAC S;2;1997;1;1;X;85,04672897
BORDEAUX;BAC GENERAL;LOT-ET-GARONNE;BAC LITTERAIRE;1;2;BAC L;1;1997;5;1;X;50
CAEN;BAC GENERAL;MANCHE;BAC SCIENTIFIQUE;1;4;BAC S;2;1997;5;1;X;25
CAEN;BAC GENERAL;MANCHE;BAC LITTERAIRE;1;2;BAC L;1;1997;2;-;-;50
MONTPELLIER;BAC GENERAL;LOZERE;BAC ECONOMIQUE ET SOCIAL;17;18;BAC ES;1;1997;1;2;2;94,44444444
MONTPELLIER;BAC GENERAL;LOZERE;BAC LITTERAIRE;8;9;BAC L;1;1997;1;2;2;88,88888889
REIMS;BAC GENERAL;MARNE;BAC ECONOMIQUE ET SOCIAL;11;15;BAC ES;1;1997;2;-;-;73,33333333
REIMS;BAC GENERAL;MARNE;BAC LITTERAIRE;0;3;BAC L;1;1997;5;1;X;0
REIMS;BAC GENERAL;MARNE;BAC LITTERAIRE;16;26;BAC L;2;1997;2;-;-;61,53846154
REIMS;BAC GENERAL;MARNE;BAC LITTERAIRE;7;14;BAC L;2;1997;5;1;X;50
NANCY-METZ;BAC GENERAL;MEUSE;BAC LITTERAIRE;131;167;BAC L;2;1997;1;1;X;78,44311377
TOULOUSE;BAC GENERAL;LOT;BAC ECONOMIQUE ET SOCIAL;1;2;BAC ES;1;1997;5;1;X;50
NANTES;BAC GENERAL;MAINE-ET-LOIRE;BAC LITTERAIRE;2;9;BAC L;1;1997;2;-;-;22,22222222
REIMS;BAC GENERAL;HAUTE-MARNE;BAC ECONOMIQUE ET SOCIAL;4;4;BAC ES;1;1997;1;2;2;100
TOULOUSE;BAC GENERAL;LOT;BAC LITTERAIRE;27;33;BAC L;2;1997;1;2;2;81,81818182
REIMS;BAC GENERAL;HAUTE-MARNE;BAC ECONOMIQUE ET SOCIAL;2;4;BAC ES;2;1997;2;-;-;50
REIMS;BAC GENERAL;HAUTE-MARNE;BAC ECONOMIQUE ET SOCIAL;1;3;BAC ES;2;1997;5;1;X;33,33333333
REIMS;BAC GENERAL;HAUTE-MARNE;BAC LITTERAIRE;0;4;BAC L;2;1997;2;-;-;0
REIMS;BAC GENERAL;HAUTE-MARNE;BAC LITTERAIRE;0;2;BAC L;1;1997;2;-;-;0
BORDEAUX;BAC GENERAL;LOT-ET-GARONNE;BAC ECONOMIQUE ET SOCIAL;5;7;BAC ES;1;1997;1;2;0;71,42857143
NANCY-METZ;BAC GENERAL;MEURTHE-ET-MOSELLE;BAC LITTERAIRE;6;15;BAC L;2;1997;2;-;-;40
BORDEAUX;BAC GENERAL;LOT-ET-GARONNE;BAC SCIENTIFIQUE;1;2;BAC S;2;1997;2;-;-;50
NANCY-METZ;BAC GENERAL;MOSELLE;BAC ECONOMIQUE ET SOCIAL;354;471;BAC ES;1;1997;1;1;X;75,15923567
LILLE;BAC GENERAL;NORD;BAC ECONOMIQUE ET SOCIAL;1255;1759;BAC ES;2;1997;1;1;X;71,34735645
LILLE;BAC GENERAL;NORD;BAC LITTERAIRE;569;640;BAC L;2;1997;1;2;2;88,90625
